"model","horizon","precision","recall","f1_score","true_positives","false_positives","false_negatives"
"Naive",1,0.329166666666667,0.329166666666667,0.329166666666667,79,161,161
"Naive",24,0.224066390041494,0.225,0.224532224532225,54,187,186
"RandomForest",1,0.547619047619048,0.191666666666667,0.283950617283951,46,38,194
"RandomForest",24,0,0,0,0,0,1
"SARIMA",1,0.458333333333333,0.183333333333333,0.261904761904762,44,52,196
"SARIMA",24,0,0,0,0,0,1
"XGBoost",1,0.548387096774194,0.2125,0.306306306306306,51,42,189
"XGBoost",24,1,1,1,1,0,0
