"model","mae","rmse","mape","smape","r2","acc_10","acc_15","acc_20","acc_25","acc_30","acc_40","acc_50","n","horizon"
"XGBoost-1H",0.308950490955788,0.458019927783563,39.5550028866264,32.6873748890856,0.583657767948559,21.6341316160193,31.434896357416,40.3904206077682,48.7019521030388,56.1883678808613,68.1827329442544,76.4540148923325,4969,"1H"
"XGBoost-24H",0.4144901546795,0.577744741575618,58.2686675314594,44.454485674855,0.334148004193843,11.6053376465831,17.691063485645,24.6461787302871,31.0149615851193,37.8487666801456,50.6065507480793,62.2927618277396,4946,"24H"
