"model","horizon","mae","rmse","mape","r2","prediction_count","mae_improvement_vs_naive","rmse_improvement_vs_naive","mape_improvement_vs_naive"
"Naive",1,0.38738504058496,0.586238156702134,47.4524127570868,0.317928532393184,4969,0,0,0
"Naive",24,0.510624310726504,0.759120553512336,67.8961757353558,-0.143676556529918,4969,0,0,0
"RandomForest",1,0.33007773641466,0.469594086286663,46.6588792068064,0.562349976128105,4969,14.7933704625674,19.8970450971068,1.67227229170119
"RandomForest",24,0.355155121296296,0.521456027326212,200.798027199094,0.419642333115744,24,30.4468835823759,31.3078766062236,-195.742764631929
"SARIMA",1,0.371896163350761,0.549104533381317,43.4309376388223,0.401599735560136,4969,3.99831578700375,6.33422149279921,8.47475372611898
"SARIMA",24,0.887531278399799,1.07791341079457,119.562931257278,-1.47986530843226,24,-73.8129696835312,-41.9950238216084,-76.0967093688868
"XGBoost",1,0.319969038189464,0.461949766155885,44.2865962149199,0.576482635404192,4969,17.4028409289363,21.201006643005,6.67156074523141
"XGBoost",24,0.306261522988478,0.491191569186826,198.80210857787,0.485053452551418,24,40.0221421982951,35.2946555176043,-192.803101831178
